Date,OFR FSI,Emerging markets
1/3/2011,0.453,-0.223
1/4/2011,0.258,-0.235
1/5/2011,0.172,-0.246
1/6/2011,0.2,-0.225
1/7/2011,0.239,-0.203
1/10/2011,0.317,-0.178
1/11/2011,0.114,-0.192
1/12/2011,-0.13,-0.208
1/13/2011,-0.179,-0.201
1/14/2011,-0.305,-0.202
1/18/2011,-0.387,-0.202
1/19/2011,-0.275,-0.197
1/20/2011,-0.154,-0.195
1/21/2011,-0.25,-0.178
1/24/2011,-0.327,-0.176
1/25/2011,-0.424,-0.164
1/26/2011,-0.524,-0.172
1/27/2011,-0.588,-0.164
1/28/2011,-0.338,-0.132
1/31/2011,-0.204,-0.136
2/1/2011,-0.358,-0.162
2/2/2011,-0.49,-0.176
2/3/2011,-0.495,-0.181
2/4/2011,-0.687,-0.189
2/7/2011,-0.714,-0.183
2/8/2011,-0.901,-0.197
2/9/2011,-0.88,-0.17
2/10/2011,-0.841,-0.165
2/11/2011,-0.896,-0.164
2/14/2011,-0.839,-0.159
2/15/2011,-0.864,-0.151
2/16/2011,-0.948,-0.158
2/17/2011,-0.866,-0.153
2/18/2011,-0.955,-0.163
2/22/2011,-0.429,-0.122
2/23/2011,-0.35,-0.105
2/24/2011,-0.222,-0.098
2/25/2011,-0.46,-0.111
2/28/2011,-0.626,-0.115
3/1/2011,-0.509,-0.116
3/2/2011,-0.48,-0.129
3/3/2011,-0.839,-0.154
3/4/2011,-0.793,-0.146
3/7/2011,-0.688,-0.146
3/8/2011,-0.767,-0.158
3/9/2011,-0.736,-0.146
3/10/2011,-0.431,-0.115
3/11/2011,-0.285,-0.116
3/14/2011,0.313,-0.116
3/15/2011,1.719,-0.074
3/16/2011,2.104,-0.057
3/17/2011,1.867,-0.058
3/18/2011,1.097,-0.069
3/21/2011,0.652,-0.086
3/22/2011,0.19,-0.095
3/23/2011,0.211,-0.106
3/24/2011,0.008,-0.122
3/25/2011,-0.223,-0.154
3/28/2011,-0.131,-0.15
3/29/2011,-0.258,-0.151
3/30/2011,-0.352,-0.164
3/31/2011,-0.297,-0.131
4/1/2011,-0.426,-0.14
4/4/2011,-0.493,-0.149
4/5/2011,-0.64,-0.157
4/6/2011,-0.754,-0.173
4/7/2011,-0.743,-0.175
4/8/2011,-0.834,-0.175
4/11/2011,-0.766,-0.165
4/12/2011,-0.388,-0.134
4/13/2011,-0.562,-0.137
4/14/2011,-0.621,-0.158
4/15/2011,-0.684,-0.15
4/18/2011,-0.385,-0.139
4/19/2011,-0.476,-0.14
4/20/2011,-0.731,-0.163
4/21/2011,-0.765,-0.169
4/25/2011,-0.736,-0.163
4/26/2011,-0.7,-0.159
4/27/2011,-0.877,-0.165
4/28/2011,-0.991,-0.161
4/29/2011,-0.988,-0.164
5/2/2011,-0.908,-0.169
5/3/2011,-0.785,-0.147
5/4/2011,-0.719,-0.138
5/5/2011,-0.279,-0.069
5/6/2011,-0.297,-0.068
5/9/2011,-0.142,-0.04
5/10/2011,-0.307,-0.059
5/11/2011,-0.259,-0.045
5/12/2011,-0.179,-0.046
5/13/2011,-0.098,-0.039
5/16/2011,-0.016,-0.029
5/17/2011,-0.038,-0.024
5/18/2011,-0.204,-0.033
5/19/2011,-0.282,-0.034
5/20/2011,-0.185,-0.034
5/23/2011,0.215,-0.011
5/24/2011,0.15,-0.011
5/25/2011,0.23,-0.002
5/26/2011,0.215,-0.001
5/27/2011,0.194,-0.009
5/31/2011,-0.024,-0.017
6/1/2011,0.135,-0.01
6/2/2011,0.247,-0.017
6/3/2011,0.187,-0.008
6/6/2011,0.151,-0.046
6/7/2011,-0.024,-0.049
6/8/2011,0.025,-0.064
6/9/2011,-0.062,-0.07
6/10/2011,0.072,-0.079
6/13/2011,0.156,-0.067
6/14/2011,-0.05,-0.09
6/15/2011,0.456,-0.058
6/16/2011,0.849,-0.035
6/17/2011,0.709,-0.03
6/20/2011,0.694,-0.032
6/21/2011,0.501,-0.043
6/22/2011,0.406,-0.04
6/23/2011,0.828,0.01
6/24/2011,0.965,0.01
6/27/2011,1.001,0.002
6/28/2011,0.721,-0.017
6/29/2011,0.406,-0.03
6/30/2011,-0.218,-0.028
7/1/2011,-0.431,-0.044
7/5/2011,-0.444,-0.038
7/6/2011,-0.322,-0.032
7/7/2011,-0.451,-0.035
7/8/2011,-0.285,-0.013
7/11/2011,0.445,0.016
7/12/2011,0.893,0.032
7/13/2011,0.71,0.025
7/14/2011,0.791,0.016
7/15/2011,0.829,0.022
7/18/2011,1.081,0.024
7/19/2011,0.924,0.024
7/20/2011,0.708,0.006
7/21/2011,0.317,-0.012
7/22/2011,0.103,-0.019
7/25/2011,0.233,-0.052
7/26/2011,0.268,-0.061
7/27/2011,0.579,-0.065
7/28/2011,0.702,-0.066
7/29/2011,0.982,-0.06
8/1/2011,0.898,-0.069
8/2/2011,1.352,-0.043
8/3/2011,1.458,-0.014
8/4/2011,2.314,0.054
8/5/2011,2.87,0.077
8/8/2011,4.615,0.167
8/9/2011,4.403,0.224
8/10/2011,5.049,0.238
8/11/2011,4.886,0.221
8/12/2011,4.542,0.227
8/15/2011,3.779,0.191
8/16/2011,3.679,0.197
8/17/2011,3.495,0.19
8/18/2011,4.595,0.231
8/19/2011,4.96,0.251
8/22/2011,4.991,0.257
8/23/2011,4.61,0.246
8/24/2011,4.553,0.235
8/25/2011,4.749,0.252
8/26/2011,4.578,0.257
8/29/2011,4.106,0.219
8/30/2011,4.01,0.224
8/31/2011,3.716,0.195
9/1/2011,3.796,0.203
9/2/2011,4.278,0.227
9/6/2011,5.287,0.245
9/7/2011,4.671,0.194
9/8/2011,4.588,0.197
9/9/2011,5.268,0.219
9/12/2011,5.847,0.239
9/13/2011,5.52,0.238
9/14/2011,5.368,0.252
9/15/2011,4.743,0.24
9/16/2011,4.676,0.238
