Date,VNI_Volume,VNI_Close price,VNI_Open price,VNI_High price,VNI_Low price,Actual VNI_Close price,Predicted VNI_Close price
2024-07-16,684260,1281.18,1279.82,1291.47,1279.37,1281.1799,1282.682
2024-07-17,1230000,1268.66,1281.18,1290.76,1256.42,1268.6599,1282.5989
2024-07-18,739040,1274.44,1268.66,1274.67,1256.21,1274.44,1281.0283
2024-07-19,791800,1264.78,1274.44,1279.94,1260.68,1264.78,1278.2206
2024-07-22,923630,1254.64,1264.78,1267.43,1245.02,1254.64,1275.659
2024-07-23,728380,1231.81,1254.64,1258.74,1231.81,1231.81,1271.5524
2024-07-24,740260,1238.47,1231.81,1242.4,1218.65,1238.47,1265.1066
2024-07-25,484410,1233.19,1238.47,1238.47,1226.2,1233.19,1256.9019
2024-07-26,458790,1242.11,1233.19,1242.11,1233.19,1242.11,1249.5366
2024-07-29,496870,1246.6,1242.11,1249.68,1242.11,1246.6,1244.2947
2024-07-30,653070,1245.06,1246.6,1248.73,1236.97,1245.0599,1241.9354
2024-07-31,748850,1251.51,1245.06,1255.77,1245.06,1251.51,1240.7839
2024-08-01,897260,1226.96,1251.51,1257.85,1222.51,1226.96,1241.3102
2024-08-02,696660,1236.6,1226.96,1236.6,1209.77,1236.6,1240.6068
2024-08-05,1040000,1188.07,1236.6,1236.6,1184.53,1188.07,1237.413
2024-08-06,688840,1210.28,1188.07,1213.35,1186.74,1210.28,1231.1387
2024-08-07,623850,1215.88,1210.28,1217.79,1205.11,1215.88,1222.9846
2024-08-08,758830,1208.32,1215.88,1219.97,1202.58,1208.32,1217.5911
2024-08-09,586760,1223.64,1208.32,1225.02,1208.32,1223.64,1213.8392
2024-08-12,551150,1230.28,1223.64,1231.46,1221.16,1230.28,1212.0646
2024-08-13,539120,1230.42,1229.81,1231.55,1223.01,1230.42,1212.9531
2024-08-14,507180,1230.36,1230.42,1236.51,1228.93,1230.36,1215.0536
2024-08-15,497060,1223.56,1230.36,1231.69,1222.28,1223.56,1217.698
2024-08-16,965060,1252.23,1223.56,1253.24,1223.56,1252.23,1219.4502
2024-08-19,698630,1261.62,1252.23,1263.84,1252.23,1261.62,1222.8004
2024-08-20,810160,1272.55,1261.62,1275.95,1261.62,1272.5499,1229.6493
2024-08-21,836420,1284.05,1272.55,1284.05,1268.91,1284.05,1238.5415
2024-08-22,687370,1282.78,1284.05,1288.42,1280.42,1282.78,1248.1339
2024-08-23,724870,1285.32,1282.78,1287.43,1276.43,1285.3201,1257.5427
2024-08-26,775470,1280.02,1285.32,1290.45,1278.72,1280.02,1265.1033
2024-08-27,660800,1280.56,1280.02,1282.92,1274.7,1280.5599,1270.7972
2024-08-28,717620,1281.44,1280.56,1285.72,1276.9,1281.4401,1274.2639
2024-08-29,634090,1281.47,1281.44,1288.2,1280.24,1281.4701,1276.6614
2024-08-30,571600,1283.87,1281.47,1286.84,1281.47,1283.87,1278.6315
2024-09-01,571600,1283.87,1281.47,1286.84,1281.47,1283.87,1280.0464
2024-09-02,571600,1283.87,1281.47,1286.84,1281.47,1283.87,1280.8916
2024-09-03,571600,1283.87,1281.47,1286.84,1281.47,1283.87,1281.3953
2024-09-04,648410,1275.8,1283.87,1283.87,1268.43,1275.8,1281.6539
2024-09-05,665630,1268.21,1275.8,1282.21,1266.05,1268.2101,1280.8619
2024-09-06,637090,1273.96,1268.21,1274.44,1262.94,1273.96,1279.1036
2024-09-09,497550,1267.73,1273.96,1273.96,1262.97,1267.73,1276.7595
2024-09-10,690100,1255.23,1267.73,1271.83,1252.22,1255.23,1274.5455
2024-09-11,583750,1253.27,1255.23,1256.86,1244.79,1253.27,1271.3666
2024-09-12,433680,1256.35,1253.27,1260.93,1253.27,1256.35,1266.7686
2024-09-13,482060,1251.71,1256.35,1256.35,1248.78,1251.71,1262.9855
2024-09-16,608010,1239.26,1251.71,1255.42,1239.26,1239.26,1259.5837
2024-09-17,632200,1258.95,1239.26,1258.95,1238.69,1258.9501,1255.6655
2024-09-18,799780,1264.9,1258.95,1271.77,1257.93,1264.9,1252.701
2024-09-19,607580,1271.27,1264.9,1271.27,1264.82,1271.27,1253.1172
2024-09-20,898260,1272.04,1271.27,1283.3,1271.27,1272.04,1255.447
2024-09-23,564220,1268.48,1275.15,1276.99,1267.87,1268.48,1259.2318
2024-09-24,817540,1276.99,1268.48,1276.99,1266.68,1276.99,1262.4149
2024-09-25,992830,1287.48,1276.99,1288.44,1276.99,1287.4801,1265.0737
2024-09-26,956800,1291.49,1290.03,1298.71,1289.15,1291.49,1268.9259
2024-09-27,950800,1290.92,1295.03,1300.31,1287.21,1290.92,1274.0415
2024-09-30,748400,1287.94,1290.92,1292.03,1283.92,1287.94,1278.9204
2024-10-01,982290,1292.2,1287.94,1302.22,1287.94,1292.2,1282.2017
